----------------------------------------------------------------------------------------------
GENESIS
----------------------------------------------------------------------------------------------

CHAPTER 1
Ge 1:1	In da beginning, God created da heavens n da earth--
Ge 28:9	then Esau went 2 Ishmael n took Mahalath, da daughter of Ishmael, son of Abe, sister of Nebaioth, as a wife, in addition 2 da wives he had. 

Ge 28:10	Then Jake went out from Beersheba n went 2 Haran.
Ge 28:11	And he arrived at a certain place n spent da night there, cuz da sun had set. And he took 1 of da stones of da place n put it under his head n slept at dat place.
Ge 28:12	And he dreamed, n look, a stairway wuz set on da earth, n its top touched da heavens. And look, angels of God were goin’ up n goin’ down on it.
Ge 28:13	And look, YHWH wuz standing beside him, n he said, "im YHWH, da God of Abe yo dad, n da God of Isaac. Da ground on which u were sleeping i’ll give 2 u n 2 yo descendants.
Ge 28:14	Yo descendants will be like da dust of da earth, n u will spread out 2 da west, n 2 da east, n 2 da north n 2 da south. And all da fams of da earth gonna be blessed thru u n thru yo descendants.
Ge 28:15	Now look, im w u, n i’ll keep u wherever u go. And i’ll bring u 2 dis land, cuz i’ll not leave u until i’ve done wut i’ve promised 2 u."
Ge 28:16	Then Jake awoke from his sleep n said, "Ofc YHWH is indeed in dis place n i didn't kno!"
Ge 28:17	Then he wuz afraid n said, "How awesome is dis place! Dis is nothin’ else than da house of God, n dis is da gate of heaven!"
Ge 28:18	And Jake rose early in da mornin’, n he took da stone dat he had put under his head n set it up as a stone pillar, n poured oil on top of it.
Ge 28:19	And he called da name of dat place Bethel; however, da name of da city wuz formerly Luz.
Ge 28:20	And Jake made a vow sayin’, "If God gonna be w me n protect me on dis wey dat im goin’, n gives me food 2 eat n clothing 2 wear,
Ge 28:21	n if i return in pce 2 da house of my dad, then YHWH will become my God.
Ge 28:22	And dis stone dat i’ve set up as a pillar will be da house of God, n of all dat u give 2 me i’ll totally give a 10th 2 u." 


CHAPTER 29
Ge 29:1	And Jake continued his journey n went 2 da land of da Easterners.
Ge 29:2	And he looked, n look, there wuz a well in da field, n look, there were 3 flocks of sheep lying beside it, 4 out of dat well da flocks were watered. And da stone on da mouth of da well wuz large.
Ge 29:3	And when all da flocks were gathered there, they rolled away da stone from da mouth of da well. And they watered da sheep n returned da stone on da mouth of da well 2 its place.
Ge 29:4	And Jake said 2 them, "My bros, where r u from?" And they said, "We r from Haran."
Ge 29:5	And he said 2 them, "Do u kno Laban, son of Nahor?" And they said, "We kno him."
Ge 29:6	And he said 2 them, "Is he well?" And they said, "He is well. Now look, Rachel his daughter is comin’ w da sheep."
Ge 29:7	And he said, "Look, it’s still broad daylight; it isn’t da time 4 da livestock 2 be gathered. Give water 2 da sheep n go, pasture them."
Ge 29:8	And they said, "We aren’t able, until all da flocks r gathered. Then da stone is rolled away from da mouth of da well, n we water da sheep."
Ge 29:9	While he wuz talkin’ w them, Rachel came w da sheep which belonged 2 her dad, 4 she wuz pasturing them.
Ge 29:10	And it happened dat, when Jake saw Rachel, da daughter of Laban, his mom's bro, n da sheep of Laban, his mom's bro, Jake drew near n rolled away da stone from da mouth of da well n watered da sheep of Laban, his mom's bro.
Ge 29:11	And Jake kissed Rachel, n lifted up his voice n cried.
Ge 29:12	And Jake told Rachel dat he wuz da relative of her dad, n dat he wuz da son of Rebekah. And she ran n told her dad.
Ge 29:13	And it happened dat when Laban heard da msg 'bout Jake, da son of his sister, he ran 2 meet him. And he embraced him n kissed him, n brought him 2 his house. And he told Laban all deez tingz.
Ge 29:14	And Laban said 2 him, "Ofc u r my flesh n my bone!" And he stayed w him a month. 

Ge 29:15	Then Laban said 2 Jake, "Just cuz u r my bro shud u work 4 me 4 nothin’? Tell me wut yo wage shud be."
Ge 29:16	Now Laban had 2 daughters. Da name of da older wuz Leah, n da name of da younger wuz Rachel.
Ge 29:17	Now da eyes of Leah were dull, but Rachel wuz beautiful in form n appearance.
Ge 29:18	And Jake luvd Rachel n said, "i’ll serve u 7 yrs 4 Rachel yo younger daughter."
Ge 29:19	Then Laban said, "Better dat i give her 2 u than i give her 2 anotha man. Stay w me."
Ge 29:20	And Jake worked 4 Rachel 7 yrs, but they were as a few days in his eyes cuz he luvd her.
Ge 29:21	And Jake said 2 Laban, "Give me my wife, dat i may go in 2 her, 4 my time is completed."
Ge 29:22	So Laban gathered all da men of da place n prepared a feast.
Ge 29:23	And it happened dat in da evening he took Leah his daughter n brought her 2 him, n he went in 2 her.
Ge 29:24	And Laban gave Zilpah his female servant 2 her, 2 Leah his daughter as a female servant.
Ge 29:25	And it happened dat in da mornin’, look, 'twas Leah! And he said 2 Laban, "Wut is dis u hav done 2 me? Did i not serve w u 4 Rachel? Now y did u deceive me?"
Ge 29:26	Then Laban said, "It isn’t da custom in our country 2 give da younger b4 da firstborn.
Ge 29:27	Complete da week of dis 1, then i’ll also give u da other, on da condition dat u will work 4 me anotha 7 yrs."
Ge 29:28	And Jake did so. So he completed da week of dis 1, then he gave Rachel his daughter 2 him as a wife.
Ge 29:29	And Laban gave Bilhah his female servant 2 Rachel his daughter as a female servant.
Ge 29:30	Then he also went in 2 Rachel, n he luvd Rachel more than Leah. And he served w him yet anotha 7 yrs. 

Ge 29:31	When YHWH saw dat Leah wuz unloved he opened her womb, but Rachel wuz barren.
Ge 29:32	Then Leah conceived n gave birth 2 a son, n she called his name Reuben, 4 she said, "Cuz YHWH haz noticed my misery, dat im unloved. Now my husband will luv me."
Ge 29:33	And she conceived again n gave birth 2 a son. And she said, "It’s cuz YHWH haz heard dat im unloved dat he gave me dis son also." And she called his name Simeon.
Ge 29:34	And she conceived again n gave birth 2 a son. Then she said, "Now dis time my husband gonna be joined 2 me, cuz i’ve borne him 3 sons." So, she called his name Levi.
Ge 29:35	And she conceived again n gave birth 2 a son. And she said, "Dis time i’ll praise YHWH." So she called his name Judah. And she ceased bearing kids. 


CHAPTER 30
Ge 30:1	When Rachel saw dat she couldn't bear kids 2 Jake, Rachel envied her sister. And she said 2 Jake, "Give me kids--if not, i’ll die!"
Ge 30:2	And Jake became angry w Rachel. And he said, "Am i in da place of God, who haz withheld from u da fruit of da womb?"
Ge 30:3	Then she said, "Here is my servant girl Bilhah; go in 2 her dat she may bear kids as my surrogate. Then i’ll even hav kids by her."
Ge 30:4	Then she gave him Bilhah, her female servant, as a wife, n Jake went in 2 her
Ge 30:5	And Bilhah conceived n gave birth 2 a son 4 Jake.
Ge 30:6	Then Rachel said, "God haz judged me, n haz also heard my voice, n haz given me a son." So she called his name Dan.
Ge 30:7	And Bilhah, Rachel's servant, conceived again n bore a 2nd son 2 Jake.
Ge 30:8	And Rachel said, "i’ve struggled a mighty struggle w my sister n hav prevailed." And she called his name Naphtali.
Ge 30:9	When Leah saw dat she had ceased bearing kids, she took Zilpah her female servant n gave her 2 Jake as a wife.
Ge 30:10	And Zilpah, da female slave of Leah, bore a son 2 Jake.
Ge 30:11	Then Leah said, "Gud fortune!" And she called his name Gad.
Ge 30:12	And Zilpah, Leah's female servant, bore a 2nd son 2 Jake.
Ge 30:13	Then Leah said, "How happy am i! Cuz women hav called me happy." So she called his name Asher. 

Ge 30:14	And in da days of da wheat harvest, Reuben went n found mandrakes in da field n he brought them 2 Leah his mom. And Rachel said 2 Leah, "Please gimme some of yo son's mandrakes."
Ge 30:15	And she said 2 her, "Is yo taking my husband such a smol thang dat u will also take da mandrakes of my son?" Then Rachel said, "Then he may sleep w u tonight in exchange 4 yo son's mandrakes."
Ge 30:16	When Jake came in from da field in da evening, Leah went out 2 meet him. And she said, "Come in 2 me, cuz i’ve hired u w my son's mandrakes." And he slept w her dat night.
Ge 30:17	And God listened 2 Leah n she conceived n gave birth 2 a 5th son 4 Jake.
Ge 30:18	Then Leah said, "God haz given me my wage since i gave my servant girl 2 my husband." And she called his name Issachar.
Ge 30:19	And Leah conceived again n gave birth 2 a 6th son 4 Jake.
Ge 30:20	And Leah said, "God haz endowed me w a gud gift. Dis time my husband will acknowledge me, cuz i bore him 6 sons." And she called his name Zebulun.
Ge 30:21	And afterward she gave birth 2 a daughter. And she called her name Dinah.
Ge 30:22	Then God remembered Rachel n listened 2 her, n God opened her womb.
Ge 30:23	And she conceived n gave birth 2 a son. And she said, "God haz taken away my disgrace."
Ge 30:24	And she called his name Joey, sayin’, "YHWH haz added 2 me anotha son." 

Ge 30:25	And it happened dat as soon as Rachel had given birth 2 Joey, Jake said 2 Laban, "Send me away dat i may go 2 my place n my land.
Ge 30:26	Give me my wives n my kids 4 which i’ve served u, n let me go. Cuz u yoself kno my service dat i’ve rendered 2 u."
Ge 30:27	But Laban said 2 him, "Please, if i’ve found favor in yo eyes, i’ve learned by divination dat YHWH haz blessed me cuz of u."
Ge 30:28	And he said, "Name yo wage 2 me n i’ll give it."
Ge 30:29	Then he said 2 him, "U yoself kno how i’ve served u n how yo livestock hav been w me.
Ge 30:30	Cuz u had lil’ b4 me, n it’s increased abundantly. And YHWH haz blessed u wherever i turned. So then, when will i provide 4 my own fam also?"
Ge 30:31	And he said, "Wut will i give u?" And Jake said, "Don’t gimme anythin’. If u will do dis thang 4 me, i’ll again feed yo flocks n keep them.
Ge 30:32	Let me pass thru all yo flocks 2day, removing all da speckled n spotted sheep from them, along w every dark-colored sheep among da sheep, n da spotted n speckled among da goats. Dat will be my wages.
Ge 30:33	And my righteousness will answer 4 me later when u come abt my wages b4 u. Every 1 dat isn’t speckled or spotted among da goats, or dark-colored among da sheep will be stolen if it’s w me."
Ge 30:34	Then Laban said, "Look! Very well. It will be accordin’ 2 yo word."
Ge 30:35	But dat day he removed da streaked n spotted male goats n all da speckled n spotted female goats, all dat had white on it, n every dark-colored ram, n put them in da charge of his sons.
Ge 30:36	And he put a journey of 3 days between him n Jake, n Jake pastured da remainder of Laban's flock.
Ge 30:37	Then Jake took fresh branches of poplar, almond, n plane trees n peeled white strips on them, exposing da white which wuz on da branches.
Ge 30:38	And he set da branches dat he had peeled in front of da flocks, in da troughs n in da water containers. And they were in heat when they came 2 drink.
Ge 30:39	And da flocks mated by da branches, so da flocks bore streaked, speckled, n spotted.
Ge 30:40	And Jake separated da lambs n turned da faces of da flocks toward da streaked n all da dark-colored in Laban's flocks. And he put his own herds apart, n didn't put them w da flocks of Laban.
Ge 30:41	And whenever any of da stronger of da flocks were in heat, Jake put da branches in full view of da flock in da troughs dat they might m8 among da branches.
Ge 30:42	But w da more feeble of da flock he’d not put them there. So da feebler were Laban's n da stronger were Jake's.
Ge 30:43	And da man became exceedingly rich n had large flocks, female slaves, male slaves, camels, n donkeys. 


CHAPTER 31
Ge 31:1	Now he heard da words of da sons of Laban, sayin’, "Jake haz taken all dat our dad haz," n "From dat which wuz our dad's he’s gained all dis wealth."
Ge 31:2	Then Jake saw da face of Laban n, look, 'twas not like it had been in da past.
Ge 31:3	And YHWH said 2 Jake, "Return 2 da land of yo ancestors n 2 yo fam, n i gonna be w u."
Ge 31:4	So Jake sent n called Rachel n Leah 2 da field, 2 his flocks,
Ge 31:5	n he said 2 them, "Look, i c da face of yo dad, dat it isn’t like it’s been toward me in da past. But da God of my dad is w me.
Ge 31:6	Now u yoselves kno dat i’ve served yo dad w all my strength,
Ge 31:7	n yo dad haz cheated me n changed my wages 10 times, but God hasn't allowed him 2 harm me.
Ge 31:8	If so he said, 'Speckled will be yo wage,' then all da flock bore speckled. And if he said, 'Streaked will be yo wage,' then all da flock bore streaked.
Ge 31:9	God haz taken away yo dad's livestock n given them 2 me.
Ge 31:10	Now it happened dat at da time of da mating of da flock i lifted up my eyes n saw in a dream, n look, da rams mounting da flock were streaked, speckled, n dappled.
Ge 31:11	Then da angel of God said 2 me in da dream, 'Jake,' n i said, 'Here im.'
Ge 31:12	And he said, 'Lift up yo eyes n c--all da rams mounting da flock r streaked, speckled, n dappled, cuz i’ve seen all dat Laban is doin’ 2 u.
Ge 31:13	im da God of Bethel where u anointed a stone pillar, where u made a vow 2 me. Now get up, go out from dis land n return 2 da land of yo birth.'"
Ge 31:14	Then Rachel n Leah answered n said 2 him, "Is there yet a portion 4 us, n an inheritance in da house of our dad?
Ge 31:15	R we not regarded as foreigners by him, cuz he’s sold us n totally consumed our money?
Ge 31:16	Cuz all da wealth dat God haz taken away from our dad, it belongs 2 us n 2 our sons. So now, all dat God haz said 2 u, do."
Ge 31:17	Then Jake got up n put his kids n his wives on da camels.
Ge 31:18	And he drove all his livestock n his possessions dat he had acquired, da livestock of his possession dat he had acquired in Paddan-Aram, in order 2 go 2 Isaac his dad, 2 da land of Canaan. 

Ge 31:19	Now Laban had gone 2 shear his sheep, n Rachel stole da idols dat belonged 2 her dad.
Ge 31:20	And Jake tricked Laban da Aramean by not telling him dat he planned 2 flee.
Ge 31:21	Then he fled w all dat he had, n arose n crossed da Euphrates n set his face toward da hill country of Gilead.
Ge 31:22	And on da 3rd day 'twas told 2 Laban dat Jake had fled.
Ge 31:23	Then he took his kinsmen w him n pursued after him, a 7-day journey, n he caught up w him in da hill country of Gilead.
Ge 31:24	And God came 2 Laban da Aramean in a dream at night n said 2 him, "Take care dat u not talk w Jake, whether gud or bad."
Ge 31:25	And Laban overtook Jake. Now Jake had pitched his tent in da hill country, n Laban n his kinsmen pitched their tents in da hill country of Gilead.
Ge 31:26	Then Laban said 2 Jake, "Wut hav u done dat u tricked me n hav carried off my daughters like captives of da sword?
Ge 31:27	Y did u hide yo intention 2 flee n trick me, n didn't tell me so dat i’d hav sent u away w happiness n song n tambourine n lyre?
Ge 31:28	And y did u not gimme opportunity 2 kiss my grandsons n my daughters goodbye? Now u hav behaved stupidly by doin’ dis.
Ge 31:29	It’s in my power 2 do harm 2 u, but da God of yo dad spoke 2 me last night sayin’, 'Take care from talkin’ w Jake, whether gud or bad.'
Ge 31:30	Now, u hav ofc gone cuz u desperately longed 4 da house of yo dad, but y did u steal my gods?"
Ge 31:31	Then Jake answered n said 2 Laban, "Cuz i wuz afraid, cuz i thought, 'Lest u take yo daughters from me by force.'
Ge 31:32	But w whomever u find yo gods, he’ll not live. In da presence of yo kinsmen now identify wut is w me dat’s urs n take it." Now Jake didn't kno dat Rachel had stolen them.
Ge 31:33	Then Laban went into Jake's tent n Leah's tent n da tent of da 2 female servants n didn't find his gods. And he came out of Leah's tent n went into Rachel's tent.
Ge 31:34	Now Rachel had taken da idols n put them in da saddle bag of da camel n sat on them. And Jake searched da whole tent thoroughly but didn't find them.
Ge 31:35	And she said 2 her dad, "Let there not be anger in da eyes of my lord, cuz i ain’t able 2 rise b4 u, 4 da wae of women is w me. And he searched carefully n didn't find da idols.
Ge 31:36	Then Jake became angry n quarreled w Laban. Jake answered n said 2 Laban, "Wut is my offense? Wut is my sin dat u pursued after me?
Ge 31:37	Cuz u hav searched all my possessions n wut did u find among all da possessions of my household? Set it b4 my kinsmen n yo kinsmen dat they may decide between da 2 of us!
Ge 31:38	Deez 20 yrs i wuz w u; yo ewes n yo female goats didn't miscarry, n da rams of yo flocks i didn't eat.
Ge 31:39	i brought no mangled carcass 2 u--i bore its loss. From my hand u sought it, whether stolen by day or stolen by night.
Ge 31:40	There i wuz, during da day da heat consumed me, n da cold by night, n my sleep fled from my eyes.
Ge 31:41	Deez 20 yrs i’ve been in yo house. i served u 14 yrs 4 yo 2 daughters n 6 yrs 4 yo flock, n u hav changed my wages 10 times.
Ge 31:42	If da God of my dad, da God of Abe n da Fear of Isaac hadn't been w me, indeed now u would’ve sent me away empty-handed. God saw my misery n da labor of my hands n roasted u last night."
Ge 31:43	Then Laban answered n said 2 Jake, "Da daughters r my daughters n da grandsons r my grandsons, n da flocks r my flocks, n all dat u c, it’s mine. Now, wut can i do 4 deez my daughters 2day, or 4 their kids whom they hav borne?
Ge 31:44	So now, come, let’s make a covenant, u n i, n let it be a witness between me n u."
Ge 31:45	And Jake took a stone n set it up as a stone pillar.
Ge 31:46	And Jake said 2 his kinsmen, "Gather stones." And they took stones n made a pile of stones, n they ate there by da pile of stones.
Ge 31:47	And Laban called it Jegar Sahadutha, but Jake called it Galeed.
Ge 31:48	Then Laban said, "Dis pile of stones is a witness between me n u 2day." So its name is called Galeed,
Ge 31:49	n Mizpah, cuz he said, "YHWH watch between me n u when we're out of sight of each other.
Ge 31:50	If u mistreat my daughters, n if u take wives besides my daughters, when there’s no man w us, c--God is a witness between me n u."
Ge 31:51	And Laban said 2 Jake, "C, dis pile of stones, n c da pillar dat i’ve set up between me n u.
Ge 31:52	Dis pile of stones is a witness, n da pillar is a witness, dat i’ll not pass beyond dis pile of stones 2 u, n dat u won’t pass beyond dis pile of stones n dis pillar 2 me intending harm.
Ge 31:53	May da God of Abe n da God of Nahor, da God of their dad judge between us." Then Jake swore by da Fear of his dad Isaac.
Ge 31:54	And Jake sacrificed a sacrifice on da hill, n he called his kinsmen 2 eat da meal. And they ate da meal n spent da night on da hill.
Ge 31:55	 And Laban arose early in da mornin’ n kissed his grandsons n his daughters, n blessed them. Then Laban departed n returned 2 his homeland. 


CHAPTER 32
Ge 32:1	And Jake went on his wey, n angels of God met him.
Ge 32:2	And when he saw them, Jake said, "Dis is da camp of God!" And he called da name of dat place Mahanaim. 

Ge 32:3	Then Jake sent messengers b4 him 2 Esau his bro, 2 da land of Seir, da territory of Edom.
Ge 32:4	And he instructed them, sayin’, "So u must tell my lord, 2 Esau, 'So says yo servant Jake, i’ve dwelled as an alien w Laban, n i’ve remained there until now.
Ge 32:5	And i’ve acquired cattle, male donkeys, flocks, n male n female slaves, n i’ve sent 2 tell my lord, 2 find favor in yo eyes.'"
Ge 32:6	And da messengers returned 2 Jake n said, "We came 2 yo bro, 2 Esau, n he’s comin’ 2 meet u, n 4 hundred men r w him."
Ge 32:7	Then Jake wuz frightened af n distressed. So he divided da ppl, flocks, cattle, n camels dat were w him into 2 companies.
Ge 32:8	And he thought, "If Esau comes 2 1 company n destroys it, da remaining company gonna be able 2 escape."
Ge 32:9	Then Jake said, "O God of my dad Abe, n God of my dad Isaac, O YHWH, who said 2 me, 'Return 2 yo land n 2 yo fam, n i’ll deal well w u.'
Ge 32:10	i ain’t worthy of all da loyal luv n all da faithfulness dat u hav shown yo servant, 4 w only my staff i crossed dis Jordan, n now i’ve become 2 camps.
Ge 32:11	Please rescue me from da hand of my bro, from da hand of Esau, cuz i fear him, lest he come n attacc mom n kids alike.
Ge 32:12	Now u yoself said, 'i’ll ofc deal well w u n make yo offspring as da sand of da sea dat can’t be counted 4 abundance.'" 

Ge 32:13	And he lodged there dat night. Then he took from wut he had w him a gift 4 Esau his bro:
Ge 32:14	2 hundred female goats, 20 male goats, 2 hundred ewes, 20 rams,
Ge 32:15	thirty milk camels w their yung, forty cows, 10 bulls, 20 female donkeys, n 10 male donkeys.
Ge 32:16	And he put them under da hand of his servants, herd by herd, n said 2 his servants, "Cross on ahead b4 me, n put some distance between herds.
Ge 32:17	And he instructed da foremost, sayin’, "When Esau my bro comes on u n asks u, sayin’, 'Whose r u n where r u goin’? 2 whom do deez animals belong ahead of u?'
Ge 32:18	Then u must say, '2 yo servant, 2 Jake. It’s a gift sent 2 my lord, 2 Esau. Now look, he’s also comin’ after us.'"
Ge 32:19	And he also instructed da 2nd servant n da 3rd, n e’erybody else who wuz behind da herds, sayin’, "U must talk 2 Esau accordin’ 2 dis word when u find him.
Ge 32:20	And moreover, u will say, 'Look, yo servant Jake is behind us.'" Cuz he thought, "Let me appease him w da gift goin’ b4 me, n afterward i’ll c his face. Maybe he’ll show me favor."
Ge 32:21	So da gift passed on b4 him, but he himself spent dat night in da camp. 

Ge 32:22	Dat night he arose n took his 2 wives, his 2 female servants, n his 11 kids n crossed da ford of da Jabbok.
Ge 32:23	And he took them n sent them across da stream. Then he sent across all his possessions.
Ge 32:24	And Jake remained alone, n a man wrestled w him until da breaking of da dawn.
Ge 32:25	And when he saw dat he couldn't prevail against him, he struck his hip socket, so dat Jake's hip socket wuz sprained as he wrestled w him.
Ge 32:26	Then he said, "Let me go, 4 dawn is breaking." But he answered, "i’ll not let u go unless u bless me."
Ge 32:27	Then he said 2 him, "Wut is yo name?" And he said, "Jake."
Ge 32:28	And he said, "Yo name will no longer be called Jake, but Israel, 4 u hav struggled w God n w men n hav prevailed."
Ge 32:29	Then Jake asked n said, "Please tell me yo name." And he said, "Y do u ask dis--4 my name?" And he blessed him there.
Ge 32:30	Then Jake called da name of da place Peniel which means "i’ve seen God face 2 face n my lyf wuz spared."
Ge 32:31	Then da sun rose on him as he passed Penuel, n he wuz limping cuz of his hip.
Ge 32:32	So da Israelites don’t eat da sinew of da sciatic nerve dat’s on da socket of da hip unto dis day, cuz he struck da socket of da thigh of Jake at da sinew of da sciatic nerve. 


CHAPTER 33
Ge 33:1	And Jake lifted up his eyes n looked. And look, Esau wuz comin’ n 4 hundred men were w him. And he divided da kids among Leah n among Rachel, n among da 2 of his female servants.
Ge 33:2	And he put da female slaves n their kids 1st, then Leah n her kids next, then Rachel w Joey last.
Ge 33:3	And he himself passed on b4 them n bowed down 2 da ground 7 times until he came 2 his bro.
Ge 33:4	But Esau ran 2 meet him, n embraced him, n fell on his neck n kissed him, n they cried.
Ge 33:5	Then Esau lifted up his eyes n saw da women n da kids n said, "Who r deez w u?" And he said, "Da kids whom God haz graciously given yo servant."
Ge 33:6	Then da female servants drew near, they n their kids, n they bowed down.
Ge 33:7	Then Leah n her kids drew near n bowed down, n afterward Joey n Rachel drew near n they bowed down.
Ge 33:8	And he said, "Wut do u mean by all dis company dat i’ve met?" Then he said, "2 find favor in da eyes of my lord."
Ge 33:9	Then Esau said, "i’ve enough my bro; keep wut u hav."
Ge 33:10	And Jake said, "No, please, if i’ve found favor in yo eyes, u must take my gift from my hand, 4 then i’ve seen yo face which is like seeing da face of God, n u hav received me.
Ge 33:11	Please take my gift which haz been brought 2 u, 4 God haz dealt graciously w me, n cuz i’ve enough." And he urged him, so he took it.
Ge 33:12	Then he said, "Let us journey n go on, n i’ll go ahead of u."
Ge 33:13	But he said 2 him, "My lord knows dat da kids r frail, n da flocks n da cattle which r nursing r a concern 2 me. Now if they drove them hard 4 a day all da flocks would die.
Ge 33:14	Let my lord pass on b4 his servant n i’ll move along slowly at da pace of da livestock dat r ahead of me, n at da pace of da kids until i come 2 my lord in Seir."
Ge 33:15	And Esau said, "Let me leave some of my ppl w u." But he said, "Wut need is there? Let me find favor in da eyes of my lord."
Ge 33:16	So Esau turned dat day on his wae 2 Seir.
Ge 33:17	But Jake traveled on 2 Succoth, n he built 4 himself a house, n he made shelters 4 his livestock. So he called da name of da place Succoth.
Ge 33:18	And Jake came safely 2 da city of Shechem which is in da land of Canaan, on his wae from Paddan-Aram. And he camped b4 da city.
Ge 33:19	And he bought a piece of land where he pitched his tent 4 1 hundred pieces of money from da hand of da sons of Hamor, dad of Shechem.
Ge 33:20	And there he erected an altar n called it "El Elohe Israel." 


CHAPTER 34
Ge 34:1	Now Dinah da daughter of Leah, whom she had borne 2 Jake, went out 2 c da daughters of da land.
Ge 34:2	And Shechem, da son of Hamor da Hivite, da prince of da land, saw her. And he took her n lay w her n raped her.
Ge 34:3	And his soul clung 2 Dinah, da daughter of Jake, n he luvd da girl n spoke tenderly 2 da girl.
Ge 34:4	So Shechem said 2 Hamor his dad, sayin’, "Get dis girl 4 me as a wife." 

Ge 34:5	And Jake heard dat Dinah his daughter had been defiled, but his sons were w his flocks in da field. And Jake kept silent until they came.
Ge 34:6	And Hamor, dad of Shechem, went out 2 Jake 2 talk w him.
Ge 34:7	And da sons of Jake came in from da field when they heard it. And da men were distressed n angry af cuz he had done a disgraceful thang in Israel by having sexy times w da daughter of Jake--somethin’ dat shouldn’t be done.
Ge 34:8	And Hamor spoke w them sayin’, "Shechem my son is in luv w yo daughter. Please give her 2 him 4 a wife.
Ge 34:9	Make marriages w us. Give us yo daughters n take our daughters 4 yoselves.
Ge 34:10	U will dwell w us n da land will be b4 u; settle n trade in it, n acquire property in it."
Ge 34:11	Then Shechem said 2 her dad n 2 her bros, "Let me find favor in yo eyes, n whatever u tell me i’ll do.
Ge 34:12	Make da bride price n gift as high as u like; i’ll give wut u tell me. But gimme da girl as a wife."
Ge 34:13	Then da sons of Jake answered Shechem n his dad Hamor talkin’ deceitfully, cuz he had defiled Dinah their sister.
Ge 34:14	And they said 2 them, "We can’t do dis thang, 2 give our sister 2 a man who is uncircumcised, 4 dat’s a disgrace 4 us.
Ge 34:15	Only on dis condition will we give consent 2 u; if u will become like us--every male among u 2 be cut.
Ge 34:16	Then we'll give our daughters 2 u, n we'll take 4 ourselves yo daughters, n we'll live w u n become 1 fam.
Ge 34:17	But if u won’t listen 2 us, 2 be cut, then we'll take our daughters n we'll go."
Ge 34:18	And their words were gud in da eyes of Hamor n in da eyes of Shechem, da son of Hamor.
Ge 34:19	And da yung man didn't delay 2 do da thang, 4 he wanted da daughter of Jake. Now he wuz da most honored of his dad's house.
Ge 34:20	Then Hamor n his son Shechem came 2 da gate of their city, n they spoke 2 da men of their city, sayin’,
Ge 34:21	"Deez men r at pce w us. Let them dwell in da land n let them trade in it. Now, look, da land is broad enough 4 them. Let us take their daughters as wives, n let’s give our daughters 2 them.
Ge 34:22	Only on dis condition will they give consent 2 us, 2 live w us n 2 become 1 fam--when every male among us is cut as they’re cut.
Ge 34:23	Will not their livestock n their property n all their animals be ours? Only let’s give consent 2 them so they’ll live among us."
Ge 34:24	And all those who went out of da gate of his city listened 2 Hamor n Shechem. Every male wuz cut, all those who went out of da gate of his city.
Ge 34:25	And it happened dat on da 3rd day, while they were in pain, 2 of da sons of Jake, Simeon n Levi, da bros of Dinah, each took his sword n came against da unsuspecting city n killed all da males.
Ge 34:26	They killed Hamor n his son Shechem w da edge of da sword, n they took Dinah from da house of Shechem n went out.
Ge 34:27	Da other sons of Jake came on da slain n plundered da city, cuz they had defiled their sister.
Ge 34:28	They took their flocks n their cattle n their donkeys, n whatever wuz in da field.
Ge 34:29	They captured n plundered all dat wuz in da houses--all their wealth, their lil’ ones, n their women.
Ge 34:30	Then Jake said 2 Simeon n Levi, "U hav brought trouble on me, making me stink among da ppl of da land, among da Canaanites n da Perizzites! im few in numba! If they gather against me n attacc me, i gonna be destroyed--i n my household!"
Ge 34:31	But they said, "Will he treat our sister like a hoe?" 


CHAPTER 35
Ge 35:1	And God said 2 Jake, "Arise, go up 2 Bethel n dwell there, n make an altar 2 da God who appeared 2 u when u fled from b4 Esau yo bro."
Ge 35:2	Then Jake said 2 his household n 2 all who were w him, "Get rid of da foreign gods dat r in yo midst n purify yoselves n change yo garments.
Ge 35:3	Then let’s make ready n let’s go up 2 Bethel, so dat i can make an altar there 2 da God who answered me in da day of my trouble, n who haz been w me on da wey dat i’ve gone."
Ge 35:4	So they gave 2 Jake all da foreign gods dat were in their hands, n da ornamental rings dat were in their ears. And Jake buried them under da oak which wuz near Shechem.
Ge 35:5	Then they set out on their journey, n da terror of God wuz on da cities dat were all around them, so dat they didn't pursue after da sons of Jake.
Ge 35:6	And Jake came 2 Luz which wuz in da land of Canaan (dat’s Bethel), he n all da ppl dat were w him.
Ge 35:7	And he built an altar there n called da place El-Bethel, 4 there God had appeared 2 him when he fled b4 his bro.
Ge 35:8	And Deborah, da nurse of Rebekah, died. And she wuz buried below Bethel, under da oak. And its name wuz called Allon-Bacuth.
Ge 35:9	And God appeared 2 Jake again when he came from Paddan-Aram, n he blessed him.
Ge 35:10	And God said 2 him, "Yo name is Jake. Yo name will no longer be called Jake, but Israel will be yo name." Then his name wuz called Israel.
Ge 35:11	And God said 2 him, "im El-Shaddai. Be fruitful n multiply. A nation n an assemblage of nations will be from u, n kings will go out from yo loins.
Ge 35:12	And as 4 da land dat i gave 2 Abe n 2 Isaac, i’ll give it 2 u. And 2 yo descendants after u i’ll give da land.
Ge 35:13	And God went up from him at da place where he spoke w him.
