----------------------------------------------------------------------------------------------
JOHN
----------------------------------------------------------------------------------------------

CHAPTER 1
Jn 1:1	In da beginning wuz da Word, n da Word wuz w God, n da Word wuz God.
Jn 12:9	Now a large crowd of Jews found out dat he wuz there, n they came, not only cuz of Jesus, but so dat they could c Lazarus also, whom he raised from da ded.
Jn 12:10	So da chief priests decided dat they’d kill Lazarus also,
Jn 12:11	cuz on account of him many of da Jews were goin’ n believing in Jesus. 

Jn 12:12	On da next day da large crowd who had come 2 da feast, when they heard dat Jesus wuz comin’ 2 Jerusalem,
Jn 12:13	took da branches of palm trees n went out 2 meet him, n began crying out, 
 "Hosanna! Blessed is da 1 who comes in da name of da Lord, even da king of Israel!"

Jn 12:14	So Jesus found a yung donkey n sat on it, just like it’s written, 

Jn 12:15	"Don’t be afraid, daughter of Zion! Look, yo king is comin’, seated on da foal of a donkey!"

Jn 12:16	(His homeboys didn't understand deez tingz at 1st, but when Jesus wuz glorified, then they remembered dat deez tingz had been written 'bout him n they did deez tingz 2 him.)
Jn 12:17	So da crowd who wuz w him when he called Lazarus out of da tomb n raised him from da ded were continuing 2 testify.
Jn 12:18	Cuz of dis also da crowd went 2 meet him, 4 they had heard dat he had performed dis sign.
Jn 12:19	So da Pharisees said 2 1 anotha, "U c dat u r accomplishing nothin’! Look, da world haz gone after him." 

Jn 12:20	Now some Greeks were among those who had gone up in order 2 worship at da feast.
Jn 12:21	So deez approached Phil, who wuz from Bethsaida in Galilee, n began asking him sayin’, "Sir, we wanna c Jesus."
Jn 12:22	Phil went n told Andrew. Andrew n Phil went n told Jesus.
Jn 12:23	And Jesus answered them, sayin’, "Da hr haz come dat da Son of Man gonna be glorified.
Jn 12:24	Fr, tbh, unless a grain of wheat falls into da earth n dies, it remains by itself alone. But if it dies, it bears much fruit.
Jn 12:25	Da 1 who luvs his lyf loses it, n da 1 who hates his lyf in dis world preserves it 4 lyf 4ever.
Jn 12:26	If anyone serves me, he must follow me, n where im, there my servant gonna be also. If anyone serves me, da Dad will honor him. 

Jn 12:27	"Now my soul is troubled, n wut will i say? 'Dad, deliver me from dis hr'? But 4 dis reason i’ve come 2 dis hr!
Jn 12:28	Dad, glorify yo name!" Then a voice came from heaven, "i’ve both glorified it, n i’ll glorify it again."
Jn 12:29	Now da crowd dat stood there n heard it said it had thundered. Others were sayin’, "An angel haz spoken 2 him!"
Jn 12:30	Jesus answered n said, "Dis voice hasn't happened 4 my sake, but 4 yo sake.
Jn 12:31	Now is da judgment of dis world! Now da ruler of dis world gonna be yeeted out!
Jn 12:32	And i, when im lifted up from da earth, will draw all ppl 2 myself."
Jn 12:33	(Now he said dis 2 indicate by wut kinda death he wuz goin’ 2 die.) 

Jn 12:34	Then da crowd replied 2 him, "We hav heard from da law dat da Christ remains 4ever! And how do u say dat da Son of Man gotta be lifted up? Who is dis Son of Man?"
Jn 12:35	So Jesus said 2 them, "Yet a lil’ time da light is w u! Walk while u hav da light, so dat da darkness doesn't overtake u! And da 1 who walks in da darkness doesn't kno where he’s goin’.
Jn 12:36	While u hav da light, believe in da light, so dat u may become sons of light." Jesus said deez tingz, n then he went away n wuz hidden from them. 

Jn 12:37	But as many signs as he had performed b4 them, they didn't believe in him,
Jn 12:38	so dat da word of da prophet Isaiah would be fulfilled, who said, 
 "Lord, who haz believed our msg? And 2 whom haz da arm of da Lord been revealed?"

Jn 12:39	Cuz of dis reason they weren't able 2 believe, cuz again Isaiah said, 

Jn 12:40	"He haz blinded their eyes n hardened their hearts, lest they c w their eyes n understand w their hearts n turn, n i heal them."

Jn 12:41	Isaiah said deez tingz cuz he saw his glory, n he spoke 'bout him. 

Jn 12:42	Yet despite dat, even many of da rulers believed in him, but cuz of da Pharisees they didn't confess it, so dat they’d not be expelled from da synagogue.
Jn 12:43	Cuz they luvd da praise of men more than praise from God. 

Jn 12:44	But Jesus cried out n said, "Da 1 who believes in me doesn't believe in me, but in da 1 who sent me,
Jn 12:45	n da 1 who sees me sees da 1 who sent me.
Jn 12:46	i’ve come as a light into da world, so dat e’erybody who believes in me won’t remain in da darkness.
Jn 12:47	And if anyone hears my words n doesn't observe them, i’ll not judge him. Cuz i haven't come 2 judge da world, but 2 save da world.
Jn 12:48	Da 1 who rejects me n doesn't accept my words haz 1 who judges him; da word dat i’ve spoken will judge him on da last day.
Jn 12:49	Cuz i haven't spoken from myself, but da Dad himself who sent me haz commanded me wut i shud say n wut i shud talk.
Jn 12:50	And i kno dat his rule is lyf 4ever. So da tingz dat i say, just like da Dad said 2 me, so i say." 


CHAPTER 13
Jn 13:1	Now b4 da feast of Passover, Jesus, knowing dat his hr had come dat he’d depart from dis world 2 da Dad, n having luvd his own in da world, luvd them 2 da end.
Jn 13:2	And as a dinner wuz taking place, when da devil had already put into da heart of Judas son of Simon Iscariot dat he shud betray him,
Jn 13:3	cuz he knew dat da Dad had given him all tingz into his hands, n dat he had come forth from God n wuz goin’ away 2 God,
Jn 13:4	he got up from da dinner n took off his outer clothing, n taking a towel, tied it around himself.
Jn 13:5	Then he poured water into da washbasin n began 2 wash da feet of da homies, n 2 wipe them dry w da towel which he had tied around himself. 

Jn 13:6	Then he came 2 Simon Pete. He said 2 him, "Lord, r u goin’ 2 wash my feet?"
Jn 13:7	Jesus answered n said 2 him, "Wut im doin’ u don’t understand now, but u will understand after deez tingz."
Jn 13:8	Pete said 2 him, "U will never wash my feet 4ever!" Jesus replied 2 him, "Unless i wash u, u don’t hav a share w me."
Jn 13:9	Simon Pete said 2 him, "Lord, not my feet only, but also my hands n my head!"
Jn 13:10	Jesus said 2 him, "Da 1 who haz bathed only needs 2 wash his feet, but is totally clean. And u r clean, but not all of u."
Jn 13:11	(Cuz he knew da 1 who’d betray him; cuz of dis he said, "Not all of u r clean.") 

Jn 13:12	So when he had washed their feet n taken his outer clothing n reclined at table again, he said 2 them, "Do u understand wut i’ve done 4 u?
Jn 13:13	U call me 'Teacher' n 'Lord,' n u talk correctly, cuz im.
Jn 13:14	If then i--yo Lord n Teacher--wash yo feet, u also ought 2 wash 1 anotha's feet.
Jn 13:15	Cuz i’ve given u an example, dat just like i’ve done 4 u, u also do.
Jn 13:16	Fr, tbh, a slave isn’t better than his master, nor a messenger better than da 1 who sent him.
Jn 13:17	If u understand deez tingz, u r blessed if u do them. 

Jn 13:18	"i ain’t talkin’ 'bout all of u. i kno whom i’ve chosen, but so dat da scripture would be fulfilled, 'Da 1 who eats my bread haz lifted up his heel against me.'
Jn 13:19	From now on im telling u b4 it happens, so dat when it happens u may believe dat im he.
Jn 13:20	Fr, tbh, da 1 who receives anyone i send receives me, n da 1 who receives me receives da 1 who sent me." 

Jn 13:21	When he had said deez tingz, Jesus wuz troubled in spirit n testified n said, "Fr, tbh 1 of u will betray me."
Jn 13:22	Da homies began looking at 1 anotha, uncertain 'bout whom he wuz talkin’.
Jn 13:23	1 of his homies--da 1 whom Jesus luvd--wuz reclining close beside Jesus.
Jn 13:24	So Simon Pete gestured 4 dis 1 2 inquire who 'twas 'bout whom he wuz talkin’.
Jn 13:25	He leaned back accordingly against Jesus' chest n said 2 him, "Lord, who is it?"
Jn 13:26	Jesus replied, "It’s he 2 whom i dip da piece of bread n give it 2 him." Then after dipping da piece of bread, he gave it 2 Judas son of Simon Iscariot.
Jn 13:27	And after da piece of bread, then Satan entered into him. Then Jesus said 2 him, "Wut u r doin’, do quickly!"
Jn 13:28	(Now nobody of those reclining at table knew 4 wut reason he said dis 2 him.
Jn 13:29	Cuz some were thinking cuz Judas had da money box, Jesus wuz telling him, "Purchase wut we need 4 da feast," or dat he shud give somethin’ 2 da poor.)
Jn 13:30	So after he had taken da piece of bread, he went out immediately. And 'twas night. 

Jn 13:31	Then, when he had gone out, Jesus said, "Now da Son of Man is glorified, n God is glorified in him.
Jn 13:32	If God is glorified in him, God will also glorify him in himself, n will glorify him immediately.
Jn 13:33	Kids, yet a lil’ time im w u. U will seek me n just like i said 2 da Jews, "Where im goin’ u can’t come," now i say also 2 u. 

Jn 13:34	"A new rule i give 2 u: dat u luv 1 anotha--just like i’ve luvd u, dat u also luv 1 anotha.
Jn 13:35	By dis e’erybody will kno dat u r my homeboys--if u hav luv 4 1 anotha." 

Jn 13:36	Simon Pete said 2 him, "Lord, where r u goin’?" Jesus replied, "Where im goin’ u can’t follow me now, but u will follow later."
Jn 13:37	Pete said 2 him, "Lord, y am i not able 2 follow u now? i’ll lay down my lyf 4 u!"
Jn 13:38	Jesus replied, "Will u lay down yo lyf 4 me? Fr, tbh, da rooster won’t crow until u hav denied me 3 times! 


CHAPTER 14
Jn 14:1	"Don’t let yo hearts be troubled. U believe in God; believe also in me.
Jn 14:2	In my Dad's house there r many dwelling places; but if not, i’d hav told u, cuz im goin’ away 2 prepare a place 4 u.
Jn 14:3	And if i go n prepare a place 4 u, i’ll come again n get u 2 myself, so dat where im, u may be also.
Jn 14:4	And u kno da wae where im goin’." 

Jn 14:5	Tommy said 2 him, "Lord, we dunno where u r goin’. How r we able 2 kno da wae?"
Jn 14:6	Jesus said 2 him, "im da wey, n da truth, n da lyf. No 1 comes 2 da Dad except thru me.
Jn 14:7	If u had known me, u would’ve known my Dad also. From now on u kno him n hav seen him." 

Jn 14:8	Phil said 2 him, "Lord, show us da Dad, n it’s enough 4 us."
Jn 14:9	Jesus said 2 him, "Am i w u so long a time n u haven't known me, Phil? Da 1 who haz seen me haz seen da Dad! How can u say, 'Show us da Dad?'
Jn 14:10	Do u not believe dat im in da Dad n da Dad is in me? Da words dat i tell u i don’t talk from myself, but da Dad livin’ in me does his works.
Jn 14:11	Believe me dat im in da Dad n da Dad is in me; but if not, believe cuz of da works themselves.
Jn 14:12	Fr, tbh, da 1 who believes in me, da works dat im doin’ he’ll do also, n he’ll do better works than deez cuz im goin’ 2 da Dad.
Jn 14:13	And whatever u ask in my name, i’ll do dis, so dat da Dad may be glorified in da Son.
Jn 14:14	If u ask me anythin’ in my name, i’ll do it. 

Jn 14:15	"If u luv me, u will keep my rules.
Jn 14:16	And i’ll ask da Dad, n he’ll give u anotha Advocate, so dat he may be w u 4ever--
Jn 14:17	da Spirit of truth, whom da world isn’t able 2 get, cuz it doesn't c him or kno him. U kno him, cuz he lives w u n gonna be in u. 

Jn 14:18	"i’ll not leave u as orphans; im comin’ 2 u.
Jn 14:19	Yet a lil’ time n da world will c me no longer, but u will c me; cuz i live, u also will live.
Jn 14:20	On dat day u will kno dat im in my Dad, n u r in me, n im in u.
Jn 14:21	Da 1 who haz my rules n keeps them--dat 1 is da 1 who luvs me. And da 1 who luvs me gonna be luvd by my Dad, n i’ll luv him n will reveal myself 2 him." 

Jn 14:22	Judas (not Iscariot) said 2 him, "Lord, y is it dat u r goin’ 2 reveal yoself 2 us n not 2 da world?"
Jn 14:23	Jesus answered n said 2 him, "If anyone luvs me he’ll keep my word, n my Dad will luv him, n we'll come 2 him n will take up rez w him.
Jn 14:24	Da 1 who doesn't luv me doesn't keep my words, n da word dat u hear isn’t mine, but da Dad's who sent me.
Jn 14:25	Deez tingz i’ve spoken 2 u while livin’ w u.
Jn 14:26	But da Advocate, da Holy Spirit, whom da Dad will send in my name--dat 1 will teach u all tingz, n will remind u of everythin’ dat i said 2 u. 

Jn 14:27	"Pce i leave w u; my pce i give 2 u--not as da world gives, i give 2 u. Don’t let yo hearts be troubled, n don’t let them be afraid.
Jn 14:28	U hav heard dat i said 2 u, 'im goin’ away, n im comin’ 2 u.' If u luvd me, u would’ve rejoiced dat im goin’ 2 da Dad, cuz da Dad is better than im.
Jn 14:29	And now i’ve told u b4 it happens, so dat when it happens, u may believe.
Jn 14:30	i’ll no longer talk much w u, 4 da ruler of da world is comin’, n he’s no power over me.
Jn 14:31	But so dat da world may kno dat i luv da Dad, n just like da Dad haz commanded me, so im doin’. Get up, let’s go from here! 


CHAPTER 15
Jn 15:1	"im da tru vine, n my Dad is da vinedresser.
Jn 15:2	Every branch dat doesn't bear fruit in me, he removes it, n every branch dat bears fruit, he prunes it so dat it may bear more fruit.
Jn 15:3	U r already clean cuz of da word dat i’ve spoken 2 u.
Jn 15:4	Remain in me, n i in u. Just as da branch isn’t able 2 bear fruit from itself unless it remains in da vine, so neither can u, unless u remain in me. 

Jn 15:5	"im da vine; u r da branches. Da 1 who remains in me n i in him--dis 1 bears much fruit, 4 apart from me u aren’t able 2 do anythin’.
Jn 15:6	If anyone doesn't remain in me, he’s yeeted out as a branch, n dries up, n they gather them n yeet them into da fire, n they’re burned.
Jn 15:7	If u remain in me n my words remain in u, ask whatever u want n it gonna be done 4 u.
Jn 15:8	My Dad is glorified by dis: dat u bear much fruit, n prove 2 be my homies. 

Jn 15:9	"Just as da Dad haz luvd me, i also hav luvd u. Remain in my luv.
Jn 15:10	If u keep my rules, u will remain in my luv, just like i’ve kept my Dad's rules n remain in his luv.
Jn 15:11	i’ve spoken deez tingz 2 u so dat my happiness may be in u, n yo happiness may be made complete.
Jn 15:12	Dis is my rule: dat u luv 1 anotha just like i’ve luvd u.
Jn 15:13	No 1 haz better luv than dis: dat someone lay down his lyf 4 his friends.
Jn 15:14	U r my friends if u do wut i command u.
Jn 15:15	No longer do i call u slaves, cuz da slave doesn't kno wut his master is doin’. But i’ve called u friends, cuz everythin’ dat i’ve heard from my Dad i’ve revealed 2 u.
Jn 15:16	U didn't choose me, but i chose u n appointed u dat u shud go n bear fruit, n yo fruit shud remain, so dat whatever u ask da Dad in my name he’ll give u.
Jn 15:17	Deez tingz i command u: dat u luv 1 anotha. 

Jn 15:18	If da world hates u, u kno dat it’s hated me b4 it hated u.
Jn 15:19	If u were of da world, da world would luv its own. But cuz u aren’t of da world, but i chose u out of da world, 4 dis reason da world hates u.
Jn 15:20	Remember da word dat i said 2 u: 'A slave isn’t better than his master.' If they persecuted me, they’ll also persecute u. If they kept my word, they’ll keep urs also.
Jn 15:21	But they’ll do all deez tingz 2 u on account of my name, cuz they dunno da 1 who sent me.
Jn 15:22	If i hadn't come n spoken 2 them, they’d not hav sin. But now they don’t hav a valid excuse 4 their sin.
Jn 15:23	Da 1 who hates me hates my Dad also.
Jn 15:24	If i hadn't done among them da works dat nobody else did, they’d not hav sin. But now they hav both seen n hated both me n my Dad.
Jn 15:25	But dis happened so dat da word dat’s written in their law would be fulfilled, 'They hated me without a reason.' 

Jn 15:26	"When da Advocate comes, whom i’ll send 2 u from da Dad--da Spirit of truth, who proceeds from da Dad--dat 1 will testify 'bout me.
Jn 15:27	And u also will testify, cuz u hav been w me from da beginning. 


CHAPTER 16
Jn 16:1	"i’ve said deez tingz 2 u so dat u won’t fall away.
Jn 16:2	They will expel u from da synagogue, but an hr is comin’ dat e’erybody who kills u will think they’re offering service 2 God.
Jn 16:3	And they’ll do deez tingz cuz they dunno da Dad or me.
Jn 16:4	But i’ve said deez tingz 2 u so dat when their hr comes, u may remember dat i told u 'bout them. 

Jn 16:5	But now im goin’ away 2 da 1 who sent me, n none of u is asking me, 'Where r u goin’?'
Jn 16:6	But cuz i’ve said deez tingz 2 u, sadness haz filled yo hearts.
Jn 16:7	But i tell u da truth, it’s better 4 u dat i go away. Cuz if i don’t go away, da Advocate won’t come 2 u; but if i go, i’ll send him 2 u.
Jn 16:8	And when he comes, he’ll convict da world abt sin n abt righteousness n abt judgment:
Jn 16:9	abt sin, cuz they don’t believe in me,
Jn 16:10	n abt righteousness, cuz im goin’ away 2 da Dad n u will c me no more,
Jn 16:11	n abt judgment, cuz da ruler of dis world haz been condemned. 

Jn 16:12	i still hav many tingz 2 tell u, but u aren’t able 2 bear them now.
Jn 16:13	But when he--da Spirit of truth--comes, he’ll guide u into all da truth. Cuz he’ll not talk from himself, but whatever he hears he’ll talk, n he’ll proclaim 2 u da tingz 2 come.
Jn 16:14	He will glorify me, cuz he’ll take from wut is mine n will proclaim it 2 u.
Jn 16:15	Everythin’ dat da Dad haz is mine. Cuz of dis reason i said dat he takes from wut is mine n will proclaim it 2 u. 

Jn 16:16	"A lil’ while n u will c me no more, n again a lil’ while n u will c me.
Jn 16:17	So some of his homeboys said 2 1 anotha, "Wut is dis dat he’s sayin’ 2 us, 'A lil’ while n u won’t c me, n again a lil’ while n u will c me,' n 'Cuz im goin’ away 2 da Dad'?"
Jn 16:18	So they kept on sayin’, "Wut is dis dat he’s sayin’, 'A lil’ while'? We don’t understand wut he’s talkin’ 'bout!" 

Jn 16:19	Jesus knew dat they were wanting 2 ask him, n he said 2 them, "R u deliberating w 1 anotha 'bout dis--dat i said, 'A lil’ while, n u won’t c me, n again a lil’ while n u will c me'?
Jn 16:20	Fr, tbh, dat u will cri n be sad, but da world will rejoice; u will become sad, but yo sadness will change 2 happiness.
Jn 16:21	A woman, when she gives birth, experiences pain cuz her hr haz come. But when her kid is born, she no longer remembers da affliction, on account of da happiness dat a human bein’ haz been born into da world.
Jn 16:22	So u also r experiencing sadness now, but i’ll c u again, n yo hearts will rejoice, n nobody will take away yo happiness from u.
Jn 16:23	And on dat day u will ask me nothin’. Fr, tbh, whatever u ask da Dad in my name, he’ll give u.
Jn 16:24	Until now u hav asked nothin’ in my name. Ask n u will get, so dat yo happiness may be complete. 

Jn 16:25	"i’ve said deez tingz 2 u in figurative sayings. An hr is comin’ when i’ll talk 2 u in figurative sayings no longer, but i’ll tell u straight 'bout da Dad.
Jn 16:26	On dat day u will ask in my name, n i don’t tell u dat i’ll ask da Dad on yo behalf.
Jn 16:27	Cuz da Dad himself luvs u, cuz u hav luvd me n hav believed dat i came from God.
Jn 16:28	i’ve gone out from da Dad n hav come into da world; again, im leaving da world n am goin’ 2 da Dad." 

Jn 16:29	His homies said, "Look, now u r talkin’ straight n r telling us no figurative sayin’!
Jn 16:30	Now we kno dat u kno everythin’ n don’t need 4 anyone 2 ask u questions. By dis we believe dat u hav come from God." 

Jn 16:31	Jesus replied 2 them, "Now do u believe?
Jn 16:32	Look, an hr is comin’--n haz come--dat u gonna be scattered each 1 2 his own home, n u will leave me alone. And i ain’t alone, cuz da Dad is w me.
Jn 16:33	i’ve said deez tingz 2 u so dat in me u may hav pce. In da world u hav affliction, but hav courage! i’ve conquered da world." 


CHAPTER 17
Jn 17:1	Jesus said deez tingz, n lifting up his eyes 2 heaven he said, "Dad, da hr haz come! Glorify yo Son, so dat yo Son may glorify u--
Jn 17:2	just like u hav given him authority over all flesh, so dat he’d give lyf 4ever 2 them--e’erybody whom u hav given him.
Jn 17:3	Now dis is lyf 4ever: dat they kno u, da only tru God, n JC, whom u hav sent.
Jn 17:4	i’ve glorified u on earth by completing da work dat u hav given me 2 do.
Jn 17:5	And now, Dad, u glorify me at yo side w da glory dat i had at yo side b4 da world existed. 

Jn 17:6	"i’ve revealed yo name 2 da men whom u gave me out of da world. They were urs, n u hav given them 2 me, n they hav kept yo word.
Jn 17:7	Now they understand dat all da tingz dat u hav given me r from u,
Jn 17:8	cuz da words dat u gave 2 me i’ve given 2 them, n they received them n kno fr dat i’ve come from u, n they hav believed dat u hav sent me.
Jn 17:9	im asking on behalf of them. i ain’t asking on behalf of da world, but on behalf of those whom u hav given me, cuz they’re urs,
Jn 17:10	n all my tingz r urs, n yo tingz r mine, n i’ve been glorified in them.
Jn 17:11	And im no longer in da world, n they’re in da world, n im comin’ 2 u. Holy Dad, keep them in yo name, which u hav given 2 me, so dat they may be 1, just like we're.
Jn 17:12	When i wuz w them, i kept them in yo name, which u hav given 2 me, n guarded them, n none of them haz died except da son of destruction, so dat da scripture would be fulfilled.
Jn 17:13	And now im comin’ 2 u, n im sayin’ deez tingz in da world so dat they may hav my happiness completed in themselves.
Jn 17:14	i’ve given them yo word, n da world haz hated them, cuz they aren’t of da world just like i ain’t of da world.
Jn 17:15	i don’t ask dat u take them out of da world, but dat u protect them from da bad 1.
Jn 17:16	They aren’t of da world, just like i ain’t of da world.
Jn 17:17	Sanctify them in da truth--yo word is truth.
Jn 17:18	Just as u sent me into da world, i also hav sent them into da world.
Jn 17:19	And 4 them i sanctify myself, so dat they themselves also may be sanctified in da truth. 

Jn 17:20	"And i don’t ask on behalf of deez only, but also on behalf of those who believe in me thru their word,
Jn 17:21	dat they all may be 1, just like u, Dad, r in me n im in u, dat they also may be in us, so dat da world may believe dat u sent me.
Jn 17:22	And da glory dat u hav given 2 me, i’ve given 2 them, so dat they may be 1, just like we're 1--
Jn 17:23	i in them, n u in me, so dat they may be completed in 1, so dat da world may kno dat u sent me, n u hav luvd them just like u hav luvd me. 

Jn 17:24	"Dad, those whom u hav given 2 me--i want dat those also may be w me where im, so dat they may c my glory dat u hav given me cuz u luvd me b4 da foundation of da world.
Jn 17:25	Gud Dad, even tho da world doesn't kno u, yet i’ve known u, n deez men hav come 2 kno dat u sent me.
Jn 17:26	And i made known 2 them yo name, n will make it known, so dat da luv w which u luvd me may be in them, n i may be in them." 


CHAPTER 18
Jn 18:1	When Jesus had said deez tingz, he went out w his homies 2 da other side of da ravine of da Kidron, where there wuz a garden into which he n his homies entered.
Jn 18:2	(Now Judas, da 1 who betrayed him, also knew 'bout da place, cuz Jesus often gathered there w his homeboys.)
Jn 18:3	So Judas, taking da cohort n officers from da chief priests n from da Pharisees, came there w lanterns n torches n weapons.
Jn 18:4	Then Jesus, cuz he knew all da tingz dat were comin’ on him, went out n said 2 them, "Who r u looking 4?"
Jn 18:5	They replied 2 him, "Jesus da Nazarene." He said 2 them, "im he." (Now Judas, da 1 who betrayed him, wuz also standing w them.)
Jn 18:6	So when he said 2 them, "im he," they drew back n fell 2 da ground.
Jn 18:7	Then he asked them again, "Who r u looking 4?" And they said, "Jesus da Nazarene."
Jn 18:8	Jesus replied, "i said 2 u dat im he! So if u r looking 4 me, let deez men go,"
Jn 18:9	so dat da word dat he had spoken would be fulfilled: "Those whom u hav given 2 me--i haven't lost anyone of them." 

Jn 18:10	Then Simon Pete, who had a sword, drew it n struck da slave of da high priest n cut off his right ear. (Now da name of da slave wuz Malchus.)
Jn 18:11	So Jesus said 2 Pete, "Put da sword into its sheath! Da cup dat da Dad haz given me--will i not drink it?" 

Jn 18:12	Then da cohort n da military tribune n da officers of da Jews seized Jesus n tied him up,
Jn 18:13	n brought him 2 Annas 1st, 4 he wuz da dad-in-law of Caiaphas, who wuz high priest dat yr.
Jn 18:14	(Now 'twas Caiaphas who had advised da Jews dat 'twas better dat 1 man die 4 da ppl.) 

Jn 18:15	So Simon Pete n anotha homie followed Jesus. (Now dat homeboy wuz known 2 da high priest, n entered w Jesus into da courtyard of da high priest.)
Jn 18:16	But Pete wuz standing by da door outside. So da other homie who wuz known 2 da high priest went out n spoke 2 da doorkeeper n brought Pete in.
Jn 18:17	Then da female slave who wuz da doorkeeper said 2 Pete, "U aren’t also 1 of da homies of dis man, r u?" He said, "i ain’t!"
Jn 18:18	(Now da slaves n da officers were standing there, having made a charcoal fire cuz 'twas cold, n they were warming themselves. And Pete wuz also standing there w them n warming himself.) 

Jn 18:19	So da high priest questioned Jesus 'bout his homeboys n 'bout his teaching.
Jn 18:20	Jesus replied 2 him, "i’ve spoken openly 2 da world. i always taught in da synagogue n in da temple courts where all da Jews assemble, n i’ve said nothin’ in secret.
Jn 18:21	Y r u asking me? Ask those who heard wut i’ve said 2 them! Look, deez ppl kno wut i said."
Jn 18:22	Now when he had said deez tingz, 1 of da officers who wuz standing by gave a slap in da face 2 Jesus, sayin’, "Do u reply 2 da high priest in dis wae?"
Jn 18:23	Jesus replied 2 him, "If i’ve spoken wrongly, testify 'bout wut is wrong! But if i’ve spoken correctly, y do u hit me?"
Jn 18:24	Then Annas sent him, tied up, 2 Caiaphas da high priest. 

Jn 18:25	Now Simon Pete wuz standing there n warming himself. So they said 2 him, "U aren’t also 1 of his homies, r u?" He denied it n said, "i ain’t!"
Jn 18:26	1 of da slaves of da high priest, who wuz related 2 da 1 whose ear Pete had cut off, said, "Did i not c u in da garden w him?"
Jn 18:27	So Pete denied it again, n immediately a rooster crowed. 

Jn 18:28	Then they brought Jesus from Caiaphas 2 da governor's rez. Now 'twas early, n they didn't enter into da governor's rez so dat they’d not be defiled, but could eat da Passover.
Jn 18:29	So Pilate came outside 2 them n said, "Wut accusation do u bring against dis man?"
Jn 18:30	They answered n said 2 him, "If dis man weren't doin’ bad, we’d not hav handed him over 2 u!"
Jn 18:31	So Pilate said 2 them, "U take him n judge him accordin’ 2 yo law!" Da Jews said 2 him, "It isn’t ok 4 us 2 kill anyone,"
Jn 18:32	so dat da word of Jesus would be fulfilled dat he had spoken, indicating by wut kinda death he wuz goin’ 2 die. 

Jn 18:33	Then Pilate entered again into da governor's rez n summoned Jesus n said 2 him, "R u da king of da Jews?"
Jn 18:34	Jesus replied, "Do u say dis from yoself, or hav others said dis 2 u 'bout me?"
Jn 18:35	Pilate replied, "i ain’t a Jew, am i? Yo ppl n da chief priests handed u over 2 me! Wut hav u done?"
Jn 18:36	Jesus replied, "My kingdom isn’t of dis world. If my kingdom were of dis world, my servants would be fighting so dat i’d not be handed over 2 da Jews. But now my kingdom isn’t from here."
Jn 18:37	Then Pilate said 2 him, "So then u r a king!" Jesus replied, "U say dat im a king. Cuz of dis reason i wuz born, n 4 dis reason i’ve come into da world: so dat i can testify 2 da truth. E’erybody who is of da truth hears my voice."
Jn 18:38	Pilate said 2 him, "Wut is truth?" 
 And when he had said dis, he went out again 2 da Jews n said 2 them, "i find no basis 4 an accusation against him.
Jn 18:39	But it’s yo custom dat i release 4 u 1 prisoner at da Passover. So do u want me 2 release 4 u da king of da Jews?"
Jn 18:40	Then they shouted again, sayin’, "Not dis man, but Barabbas!" (Now Barabbas wuz a revolutionary.) 


CHAPTER 19
Jn 19:1	So then Pilate took Jesus n had him whipped.
Jn 19:2	And da soldiers wove a crown of thorns n placed it on his head, n put a purple robe on him,
Jn 19:3	n were comin’ up 2 him n sayin’, "Hail, king of da Jews!" n were giving him slaps in da face. 

Jn 19:4	And Pilate came outside again n said 2 them, "Look, im bringing him outside 2 u, so dat u will kno dat i find no basis 4 an accusation against him."
Jn 19:5	Then Jesus came outside wearing da crown of thorns n da purple robe, n he said 2 them, "Look da man!"
Jn 19:6	So when they saw him, da chief priests n da officers shouted, sayin’, "Crucify! Crucify!" Pilate said 2 them, "U take him n crucify him! Cuz i don’t find a basis 4 an accusation against him."
Jn 19:7	Da Jews replied 2 him, "We hav a law, n accordin’ 2 da law he ought 2 die, cuz he made himself out 2 be da Son of God!" 

Jn 19:8	So when Pilate heard dis statement, he wuz even more afraid,
Jn 19:9	n he entered into da governor's rez again n said 2 Jesus, "Where r u from?" But Jesus didn't give him an answer.
Jn 19:10	So Pilate said 2 him, "Will u not talk 2 me? Do u not kno dat i’ve authority 2 release u, n i’ve authority 2 crucify u?"
Jn 19:11	Jesus replied 2 him, "U wouldn’t’ve any authority over me unless 'twas given 2 u from above. Cuz of dis reason da 1 who handed me over 2 u haz better sin." 

Jn 19:12	From dis point on Pilate wuz seeking 2 release him, but da Jews shouted, sayin’, "If u release dis man, u aren’t a friend of Caesar! E’erybody who makes himself out 2 be a king opposes Caesar!"
Jn 19:13	So Pilate, when he heard deez words, brought Jesus outside n sat down on da judgment seat, in da place called Da Stone Pavement (but Gabbatha in Aramaic).
Jn 19:14	(Now 'twas da day of preparation of da Passover; 'twas 'bout da 6th hr.) And he said 2 da Jews, "Look yo king!" 

Jn 19:15	Then those shouted, "Away w him! Away w him! Crucify him!" Pilate said 2 them, "Will i crucify yo king?" Da chief priests replied, "We don’t hav a king except Caesar!"
Jn 19:16	So then he handed him over 2 them so dat he could be crucified. 

Jn 19:17	n carrying 4 himself da cross, he went out 2 da place called Da Place of a Skull (which is called Golgotha in Aramaic),
Jn 19:18	where they crucified him, n w him 2 others, 1 on each side, n Jesus in da middle.
